"language","item.id","Rhat_k","Rhat_l","Rhat_s","Rhat_delta"
"Cantonese","item_100",1.00258762961622,1.00255946659602,1.00313209200385,NA
"Cantonese","item_101",1.00151184679376,1.00172137672721,1.00016684124988,NA
"Cantonese","item_102",1.00165276281495,1.00229515919509,1.00056868558373,NA
"Cantonese","item_103",1.00028945845564,1.00006312247947,1.00088101998625,NA
"Cantonese","item_104",1.00335394036042,1.00279766226155,1.0039387019829,NA
"Cantonese","item_105",1.00100536321072,1.00107400158297,1.00049466772219,NA
"Cantonese","item_106",1.0019525181547,1.00107537278493,1.00287088061492,NA
"Cantonese","item_107",1.00153931817157,1.00164275861796,1.00058826389202,NA
"Cantonese","item_108",0.999906653226816,0.999995702024918,1.00017555311076,NA
"Cantonese","item_109",1.00275776542139,1.00216972911777,1.00256253911602,NA
"Cantonese","item_10",1.00074540180665,1.00084916799805,1.00057880209086,NA
"Cantonese","item_110",1.00281062000098,1.00265260769837,1.00228944094318,NA
"Cantonese","item_111",1.00106439223758,1.00100535824749,1.00063664152765,NA
"Cantonese","item_112",1.00197400020306,1.00201509388814,1.00105442908773,NA
"Cantonese","item_113",1.00026991445286,1.00018186125269,0.999992401399486,NA
"Cantonese","item_114",1.00074095607115,1.00089114347952,1.00034511139807,NA
"Cantonese","item_115",0.999765609322252,0.999843255885705,0.999878766006893,NA
"Cantonese","item_116",1.00186035844587,1.00186693702266,0.999885968495474,NA
"Cantonese","item_117",1.00100890790426,1.00101329319775,1.00031304630826,NA
"Cantonese","item_118",1.00149477886519,1.00142360057842,1.00144129334355,NA
"Cantonese","item_119",1.00098884440737,1.00088440450232,1.00124439583831,NA
"Cantonese","item_11",0.999846339023841,0.999859954595389,1.00021876561508,NA
"Cantonese","item_120",0.999941633164104,1.00001422626906,0.999724735754846,NA
"Cantonese","item_121",1.00208255763738,1.00211654245012,1.00173058944453,NA
"Cantonese","item_122",1.00114256373054,1.00154157613442,1.00019507750139,NA
"Cantonese","item_123",1.00169111601175,1.00128197187993,1.00184357332621,NA
"Cantonese","item_124",1.00050980736787,1.00052725730181,1.00036296083199,NA
"Cantonese","item_125",1.00142078710627,1.001501183403,1.00000094144318,NA
"Cantonese","item_126",1.00077538863935,1.00050072419062,1.00073625166177,NA
"Cantonese","item_127",1.00254410604347,1.00298820468811,1.00157230453089,NA
"Cantonese","item_128",1.00109128379762,1.00096149941239,1.0002911229759,NA
"Cantonese","item_129",1.00017537681586,1.00021579319647,1.00021340692539,NA
