"Simulation","age","yes","N"
"ExtSimulation_1",15,59,1000
"ExtSimulation_1",16,83,1000
"ExtSimulation_1",17,130,1000
"ExtSimulation_1",18,179,1000
"ExtSimulation_1",19,238,1000
"ExtSimulation_1",20,294,1000
"ExtSimulation_1",21,358,1000
"ExtSimulation_1",22,422,1000
"ExtSimulation_1",23,480,1000
"ExtSimulation_1",24,532,1000
"ExtSimulation_1",25,591,1000
"ExtSimulation_1",26,642,1000
"ExtSimulation_1",27,697,1000
"ExtSimulation_1",28,745,1000
"ExtSimulation_1",29,800,1000
"ExtSimulation_1",30,833,1000
"ExtSimulation_1",31,866,1000
"ExtSimulation_1",32,890,1000
"ExtSimulation_1",33,909,1000
"ExtSimulation_1",34,926,1000
"ExtSimulation_1",35,941,1000
"ExtSimulation_1",36,954,1000
"ExtSimulation_2",15,74,1000
"ExtSimulation_2",16,105,1000
"ExtSimulation_2",17,138,1000
"ExtSimulation_2",18,185,1000
"ExtSimulation_2",19,233,1000
"ExtSimulation_2",20,290,1000
"ExtSimulation_2",21,350,1000
"ExtSimulation_2",22,416,1000
"ExtSimulation_2",23,482,1000
"ExtSimulation_2",24,543,1000
"ExtSimulation_2",25,599,1000
"ExtSimulation_2",26,668,1000
"ExtSimulation_2",27,719,1000
"ExtSimulation_2",28,766,1000
"ExtSimulation_2",29,810,1000
"ExtSimulation_2",30,835,1000
"ExtSimulation_2",31,864,1000
"ExtSimulation_2",32,895,1000
"ExtSimulation_2",33,911,1000
"ExtSimulation_2",34,930,1000
"ExtSimulation_2",35,941,1000
"ExtSimulation_2",36,956,1000
"ExtSimulation_3",15,88,1000
"ExtSimulation_3",16,120,1000
"ExtSimulation_3",17,142,1000
"ExtSimulation_3",18,187,1000
"ExtSimulation_3",19,236,1000
"ExtSimulation_3",20,279,1000
"ExtSimulation_3",21,332,1000
"ExtSimulation_3",22,384,1000
"ExtSimulation_3",23,447,1000
"ExtSimulation_3",24,514,1000
"ExtSimulation_3",25,567,1000
"ExtSimulation_3",26,619,1000
"ExtSimulation_3",27,672,1000
"ExtSimulation_3",28,721,1000
"ExtSimulation_3",29,758,1000
"ExtSimulation_3",30,789,1000
"ExtSimulation_3",31,819,1000
"ExtSimulation_3",32,850,1000
"ExtSimulation_3",33,874,1000
"ExtSimulation_3",34,896,1000
"ExtSimulation_3",35,915,1000
"ExtSimulation_3",36,928,1000
"ExtSimulation_4",15,67,1000
"ExtSimulation_4",16,98,1000
"ExtSimulation_4",17,133,1000
"ExtSimulation_4",18,176,1000
"ExtSimulation_4",19,244,1000
"ExtSimulation_4",20,300,1000
"ExtSimulation_4",21,362,1000
"ExtSimulation_4",22,426,1000
"ExtSimulation_4",23,481,1000
"ExtSimulation_4",24,539,1000
"ExtSimulation_4",25,598,1000
"ExtSimulation_4",26,636,1000
"ExtSimulation_4",27,687,1000
"ExtSimulation_4",28,731,1000
"ExtSimulation_4",29,766,1000
"ExtSimulation_4",30,800,1000
"ExtSimulation_4",31,849,1000
"ExtSimulation_4",32,884,1000
"ExtSimulation_4",33,907,1000
"ExtSimulation_4",34,924,1000
"ExtSimulation_4",35,938,1000
"ExtSimulation_4",36,953,1000
"ExtSimulation_5",15,84,1000
"ExtSimulation_5",16,115,1000
"ExtSimulation_5",17,152,1000
"ExtSimulation_5",18,202,1000
"ExtSimulation_5",19,269,1000
"ExtSimulation_5",20,324,1000
"ExtSimulation_5",21,384,1000
"ExtSimulation_5",22,453,1000
"ExtSimulation_5",23,499,1000
"ExtSimulation_5",24,550,1000
"ExtSimulation_5",25,603,1000
"ExtSimulation_5",26,653,1000
"ExtSimulation_5",27,697,1000
"ExtSimulation_5",28,731,1000
"ExtSimulation_5",29,771,1000
"ExtSimulation_5",30,802,1000
"ExtSimulation_5",31,836,1000
"ExtSimulation_5",32,862,1000
"ExtSimulation_5",33,893,1000
"ExtSimulation_5",34,911,1000
"ExtSimulation_5",35,927,1000
"ExtSimulation_5",36,938,1000
"ExtSimulation_6",15,61,1000
"ExtSimulation_6",16,97,1000
"ExtSimulation_6",17,151,1000
"ExtSimulation_6",18,192,1000
"ExtSimulation_6",19,234,1000
"ExtSimulation_6",20,281,1000
"ExtSimulation_6",21,341,1000
"ExtSimulation_6",22,394,1000
"ExtSimulation_6",23,442,1000
"ExtSimulation_6",24,509,1000
"ExtSimulation_6",25,564,1000
"ExtSimulation_6",26,614,1000
"ExtSimulation_6",27,665,1000
"ExtSimulation_6",28,722,1000
"ExtSimulation_6",29,765,1000
"ExtSimulation_6",30,797,1000
"ExtSimulation_6",31,826,1000
"ExtSimulation_6",32,848,1000
"ExtSimulation_6",33,877,1000
"ExtSimulation_6",34,899,1000
"ExtSimulation_6",35,926,1000
"ExtSimulation_6",36,946,1000
"ExtSimulation_7",15,72,1000
"ExtSimulation_7",16,101,1000
"ExtSimulation_7",17,142,1000
"ExtSimulation_7",18,186,1000
"ExtSimulation_7",19,233,1000
"ExtSimulation_7",20,297,1000
"ExtSimulation_7",21,359,1000
"ExtSimulation_7",22,419,1000
"ExtSimulation_7",23,471,1000
"ExtSimulation_7",24,543,1000
"ExtSimulation_7",25,603,1000
"ExtSimulation_7",26,662,1000
"ExtSimulation_7",27,707,1000
"ExtSimulation_7",28,757,1000
"ExtSimulation_7",29,800,1000
"ExtSimulation_7",30,842,1000
"ExtSimulation_7",31,865,1000
"ExtSimulation_7",32,895,1000
"ExtSimulation_7",33,915,1000
"ExtSimulation_7",34,929,1000
"ExtSimulation_7",35,944,1000
"ExtSimulation_7",36,953,1000
"ExtSimulation_8",15,64,1000
"ExtSimulation_8",16,88,1000
"ExtSimulation_8",17,128,1000
"ExtSimulation_8",18,172,1000
"ExtSimulation_8",19,224,1000
"ExtSimulation_8",20,275,1000
"ExtSimulation_8",21,341,1000
"ExtSimulation_8",22,401,1000
"ExtSimulation_8",23,465,1000
"ExtSimulation_8",24,525,1000
"ExtSimulation_8",25,582,1000
"ExtSimulation_8",26,634,1000
"ExtSimulation_8",27,678,1000
"ExtSimulation_8",28,724,1000
"ExtSimulation_8",29,772,1000
"ExtSimulation_8",30,802,1000
"ExtSimulation_8",31,832,1000
"ExtSimulation_8",32,864,1000
"ExtSimulation_8",33,892,1000
"ExtSimulation_8",34,909,1000
"ExtSimulation_8",35,923,1000
"ExtSimulation_8",36,943,1000
"ExtSimulation_9",15,71,1000
"ExtSimulation_9",16,96,1000
"ExtSimulation_9",17,133,1000
"ExtSimulation_9",18,188,1000
"ExtSimulation_9",19,234,1000
"ExtSimulation_9",20,280,1000
"ExtSimulation_9",21,335,1000
"ExtSimulation_9",22,407,1000
"ExtSimulation_9",23,468,1000
"ExtSimulation_9",24,534,1000
"ExtSimulation_9",25,583,1000
"ExtSimulation_9",26,640,1000
"ExtSimulation_9",27,698,1000
"ExtSimulation_9",28,755,1000
"ExtSimulation_9",29,806,1000
"ExtSimulation_9",30,843,1000
"ExtSimulation_9",31,869,1000
"ExtSimulation_9",32,889,1000
"ExtSimulation_9",33,906,1000
"ExtSimulation_9",34,927,1000
"ExtSimulation_9",35,937,1000
"ExtSimulation_9",36,951,1000
"ExtSimulation_10",15,71,1000
"ExtSimulation_10",16,99,1000
"ExtSimulation_10",17,150,1000
"ExtSimulation_10",18,195,1000
"ExtSimulation_10",19,258,1000
"ExtSimulation_10",20,316,1000
"ExtSimulation_10",21,372,1000
"ExtSimulation_10",22,436,1000
"ExtSimulation_10",23,498,1000
"ExtSimulation_10",24,556,1000
"ExtSimulation_10",25,609,1000
"ExtSimulation_10",26,665,1000
"ExtSimulation_10",27,710,1000
"ExtSimulation_10",28,747,1000
"ExtSimulation_10",29,782,1000
"ExtSimulation_10",30,820,1000
"ExtSimulation_10",31,842,1000
"ExtSimulation_10",32,866,1000
"ExtSimulation_10",33,894,1000
