"Simulation","age","yes","N"
"ExtSimulation_1",15,54,1000
"ExtSimulation_1",16,78,1000
"ExtSimulation_1",17,104,1000
"ExtSimulation_1",18,155,1000
"ExtSimulation_1",19,217,1000
"ExtSimulation_1",20,275,1000
"ExtSimulation_1",21,355,1000
"ExtSimulation_1",22,406,1000
"ExtSimulation_1",23,469,1000
"ExtSimulation_1",24,540,1000
"ExtSimulation_1",25,601,1000
"ExtSimulation_1",26,660,1000
"ExtSimulation_1",27,705,1000
"ExtSimulation_1",28,764,1000
"ExtSimulation_1",29,798,1000
"ExtSimulation_1",30,834,1000
"ExtSimulation_1",31,862,1000
"ExtSimulation_1",32,890,1000
"ExtSimulation_1",33,911,1000
"ExtSimulation_1",34,923,1000
"ExtSimulation_1",35,939,1000
"ExtSimulation_1",36,953,1000
"ExtSimulation_2",15,47,1000
"ExtSimulation_2",16,81,1000
"ExtSimulation_2",17,118,1000
"ExtSimulation_2",18,161,1000
"ExtSimulation_2",19,217,1000
"ExtSimulation_2",20,277,1000
"ExtSimulation_2",21,344,1000
"ExtSimulation_2",22,413,1000
"ExtSimulation_2",23,468,1000
"ExtSimulation_2",24,524,1000
"ExtSimulation_2",25,583,1000
"ExtSimulation_2",26,640,1000
"ExtSimulation_2",27,702,1000
"ExtSimulation_2",28,766,1000
"ExtSimulation_2",29,803,1000
"ExtSimulation_2",30,840,1000
"ExtSimulation_2",31,874,1000
"ExtSimulation_2",32,898,1000
"ExtSimulation_2",33,921,1000
"ExtSimulation_2",34,936,1000
"ExtSimulation_2",35,955,1000
"ExtSimulation_2",36,962,1000
"ExtSimulation_3",15,52,1000
"ExtSimulation_3",16,83,1000
"ExtSimulation_3",17,118,1000
"ExtSimulation_3",18,168,1000
"ExtSimulation_3",19,204,1000
"ExtSimulation_3",20,278,1000
"ExtSimulation_3",21,345,1000
"ExtSimulation_3",22,414,1000
"ExtSimulation_3",23,469,1000
"ExtSimulation_3",24,531,1000
"ExtSimulation_3",25,591,1000
"ExtSimulation_3",26,642,1000
"ExtSimulation_3",27,703,1000
"ExtSimulation_3",28,745,1000
"ExtSimulation_3",29,786,1000
"ExtSimulation_3",30,822,1000
"ExtSimulation_3",31,863,1000
"ExtSimulation_3",32,890,1000
"ExtSimulation_3",33,915,1000
"ExtSimulation_3",34,929,1000
"ExtSimulation_3",35,942,1000
"ExtSimulation_3",36,955,1000
"ExtSimulation_4",15,48,1000
"ExtSimulation_4",16,75,1000
"ExtSimulation_4",17,104,1000
"ExtSimulation_4",18,156,1000
"ExtSimulation_4",19,218,1000
"ExtSimulation_4",20,281,1000
"ExtSimulation_4",21,345,1000
"ExtSimulation_4",22,417,1000
"ExtSimulation_4",23,491,1000
"ExtSimulation_4",24,549,1000
"ExtSimulation_4",25,598,1000
"ExtSimulation_4",26,655,1000
"ExtSimulation_4",27,716,1000
"ExtSimulation_4",28,764,1000
"ExtSimulation_4",29,805,1000
"ExtSimulation_4",30,838,1000
"ExtSimulation_4",31,868,1000
"ExtSimulation_4",32,884,1000
"ExtSimulation_4",33,906,1000
"ExtSimulation_4",34,921,1000
"ExtSimulation_4",35,935,1000
"ExtSimulation_4",36,943,1000
"ExtSimulation_5",15,58,1000
"ExtSimulation_5",16,76,1000
"ExtSimulation_5",17,123,1000
"ExtSimulation_5",18,171,1000
"ExtSimulation_5",19,229,1000
"ExtSimulation_5",20,276,1000
"ExtSimulation_5",21,330,1000
"ExtSimulation_5",22,401,1000
"ExtSimulation_5",23,475,1000
"ExtSimulation_5",24,530,1000
"ExtSimulation_5",25,594,1000
"ExtSimulation_5",26,656,1000
"ExtSimulation_5",27,700,1000
"ExtSimulation_5",28,758,1000
"ExtSimulation_5",29,805,1000
"ExtSimulation_5",30,842,1000
"ExtSimulation_5",31,878,1000
"ExtSimulation_5",32,903,1000
"ExtSimulation_5",33,930,1000
"ExtSimulation_5",34,942,1000
"ExtSimulation_5",35,957,1000
"ExtSimulation_5",36,967,1000
"ExtSimulation_6",15,43,1000
"ExtSimulation_6",16,69,1000
"ExtSimulation_6",17,106,1000
"ExtSimulation_6",18,164,1000
"ExtSimulation_6",19,219,1000
"ExtSimulation_6",20,275,1000
"ExtSimulation_6",21,337,1000
"ExtSimulation_6",22,418,1000
"ExtSimulation_6",23,477,1000
"ExtSimulation_6",24,547,1000
"ExtSimulation_6",25,621,1000
"ExtSimulation_6",26,686,1000
"ExtSimulation_6",27,726,1000
"ExtSimulation_6",28,772,1000
"ExtSimulation_6",29,813,1000
"ExtSimulation_6",30,843,1000
"ExtSimulation_6",31,879,1000
"ExtSimulation_6",32,915,1000
"ExtSimulation_6",33,927,1000
"ExtSimulation_6",34,945,1000
"ExtSimulation_6",35,957,1000
"ExtSimulation_6",36,964,1000
"ExtSimulation_7",15,46,1000
"ExtSimulation_7",16,73,1000
"ExtSimulation_7",17,103,1000
"ExtSimulation_7",18,172,1000
"ExtSimulation_7",19,223,1000
"ExtSimulation_7",20,271,1000
"ExtSimulation_7",21,358,1000
"ExtSimulation_7",22,425,1000
"ExtSimulation_7",23,492,1000
"ExtSimulation_7",24,569,1000
"ExtSimulation_7",25,624,1000
"ExtSimulation_7",26,672,1000
"ExtSimulation_7",27,718,1000
"ExtSimulation_7",28,763,1000
"ExtSimulation_7",29,803,1000
"ExtSimulation_7",30,843,1000
"ExtSimulation_7",31,874,1000
"ExtSimulation_7",32,898,1000
"ExtSimulation_7",33,920,1000
"ExtSimulation_7",34,937,1000
"ExtSimulation_7",35,948,1000
"ExtSimulation_7",36,959,1000
"ExtSimulation_8",15,66,1000
"ExtSimulation_8",16,94,1000
"ExtSimulation_8",17,131,1000
"ExtSimulation_8",18,183,1000
"ExtSimulation_8",19,245,1000
"ExtSimulation_8",20,295,1000
"ExtSimulation_8",21,374,1000
"ExtSimulation_8",22,450,1000
"ExtSimulation_8",23,508,1000
"ExtSimulation_8",24,574,1000
"ExtSimulation_8",25,624,1000
"ExtSimulation_8",26,668,1000
"ExtSimulation_8",27,726,1000
"ExtSimulation_8",28,767,1000
"ExtSimulation_8",29,811,1000
"ExtSimulation_8",30,831,1000
"ExtSimulation_8",31,861,1000
"ExtSimulation_8",32,890,1000
"ExtSimulation_8",33,905,1000
"ExtSimulation_8",34,926,1000
"ExtSimulation_8",35,938,1000
"ExtSimulation_8",36,954,1000
"ExtSimulation_9",15,66,1000
"ExtSimulation_9",16,86,1000
"ExtSimulation_9",17,122,1000
"ExtSimulation_9",18,171,1000
"ExtSimulation_9",19,224,1000
"ExtSimulation_9",20,275,1000
"ExtSimulation_9",21,340,1000
"ExtSimulation_9",22,398,1000
"ExtSimulation_9",23,460,1000
"ExtSimulation_9",24,528,1000
"ExtSimulation_9",25,601,1000
"ExtSimulation_9",26,664,1000
"ExtSimulation_9",27,728,1000
"ExtSimulation_9",28,771,1000
"ExtSimulation_9",29,810,1000
"ExtSimulation_9",30,846,1000
"ExtSimulation_9",31,878,1000
"ExtSimulation_9",32,896,1000
"ExtSimulation_9",33,911,1000
"ExtSimulation_9",34,929,1000
"ExtSimulation_9",35,943,1000
"ExtSimulation_9",36,957,1000
"ExtSimulation_10",15,55,1000
"ExtSimulation_10",16,84,1000
"ExtSimulation_10",17,129,1000
"ExtSimulation_10",18,167,1000
"ExtSimulation_10",19,228,1000
"ExtSimulation_10",20,284,1000
"ExtSimulation_10",21,351,1000
"ExtSimulation_10",22,415,1000
"ExtSimulation_10",23,483,1000
"ExtSimulation_10",24,546,1000
"ExtSimulation_10",25,600,1000
"ExtSimulation_10",26,646,1000
"ExtSimulation_10",27,700,1000
"ExtSimulation_10",28,759,1000
"ExtSimulation_10",29,792,1000
"ExtSimulation_10",30,824,1000
"ExtSimulation_10",31,868,1000
"ExtSimulation_10",32,896,1000
"ExtSimulation_10",33,915,1000
