"Simulation","age","yes","N"
"ExtSimulation_1",15,39,1000
"ExtSimulation_1",16,66,1000
"ExtSimulation_1",17,107,1000
"ExtSimulation_1",18,149,1000
"ExtSimulation_1",19,196,1000
"ExtSimulation_1",20,250,1000
"ExtSimulation_1",21,330,1000
"ExtSimulation_1",22,388,1000
"ExtSimulation_1",23,432,1000
"ExtSimulation_1",24,499,1000
"ExtSimulation_1",25,576,1000
"ExtSimulation_1",26,638,1000
"ExtSimulation_1",27,686,1000
"ExtSimulation_1",28,734,1000
"ExtSimulation_1",29,778,1000
"ExtSimulation_1",30,827,1000
"ExtSimulation_1",31,860,1000
"ExtSimulation_1",32,894,1000
"ExtSimulation_1",33,912,1000
"ExtSimulation_1",34,928,1000
"ExtSimulation_1",35,945,1000
"ExtSimulation_1",36,954,1000
"ExtSimulation_2",15,60,1000
"ExtSimulation_2",16,95,1000
"ExtSimulation_2",17,131,1000
"ExtSimulation_2",18,173,1000
"ExtSimulation_2",19,224,1000
"ExtSimulation_2",20,281,1000
"ExtSimulation_2",21,323,1000
"ExtSimulation_2",22,409,1000
"ExtSimulation_2",23,485,1000
"ExtSimulation_2",24,547,1000
"ExtSimulation_2",25,611,1000
"ExtSimulation_2",26,667,1000
"ExtSimulation_2",27,715,1000
"ExtSimulation_2",28,775,1000
"ExtSimulation_2",29,806,1000
"ExtSimulation_2",30,844,1000
"ExtSimulation_2",31,884,1000
"ExtSimulation_2",32,907,1000
"ExtSimulation_2",33,925,1000
"ExtSimulation_2",34,941,1000
"ExtSimulation_2",35,955,1000
"ExtSimulation_2",36,967,1000
"ExtSimulation_3",15,50,1000
"ExtSimulation_3",16,77,1000
"ExtSimulation_3",17,102,1000
"ExtSimulation_3",18,152,1000
"ExtSimulation_3",19,219,1000
"ExtSimulation_3",20,282,1000
"ExtSimulation_3",21,354,1000
"ExtSimulation_3",22,428,1000
"ExtSimulation_3",23,495,1000
"ExtSimulation_3",24,551,1000
"ExtSimulation_3",25,602,1000
"ExtSimulation_3",26,646,1000
"ExtSimulation_3",27,693,1000
"ExtSimulation_3",28,737,1000
"ExtSimulation_3",29,782,1000
"ExtSimulation_3",30,819,1000
"ExtSimulation_3",31,851,1000
"ExtSimulation_3",32,881,1000
"ExtSimulation_3",33,918,1000
