"language","item.id","Rhat_k","Rhat_l","Rhat_s","Rhat_delta"
"Croatian","item_100",1.00325028924644,1.00289891439721,1.00085787369839,NA
"Croatian","item_101",1.00039110074214,1.0003376094248,1.00058765659448,NA
"Croatian","item_102",1.00009662297673,1.00000702341864,1.00041597368043,NA
"Croatian","item_103",1.00191466897126,1.0022559431699,1.00090468108736,NA
"Croatian","item_104",1.00076751761255,1.00093870310143,1.00051466862031,NA
"Croatian","item_105",1.00173304731999,1.00114746997718,1.00092374983985,NA
"Croatian","item_106",1.00135223117326,1.00183157445037,1.00008074241949,NA
"Croatian","item_107",1.00222526069035,1.00182104875771,1.00237905668098,NA
"Croatian","item_108",0.999820681706937,0.999824287418315,0.999847659783274,NA
"Croatian","item_109",1.00065537393579,1.0007649712804,1.00046768996026,NA
"Croatian","item_10",0.999963419754965,0.99993084964916,0.999834873231697,NA
"Croatian","item_110",1.00000941004127,0.999827468394368,1.00028886624378,NA
"Croatian","item_111",0.999857123847916,0.999995084733077,1.00009814203765,NA
"Croatian","item_112",0.999910619051914,0.999803170077996,1.00058036027405,NA
"Croatian","item_113",1.00024632931061,1.00007800955822,1.0005745051615,NA
"Croatian","item_114",1.00119046931301,1.00077840513523,1.00235011508591,NA
"Croatian","item_115",1.00019325888353,1.00011488230711,1.00023126171141,NA
"Croatian","item_116",1.00017225902132,1.00018940870109,1.00138939057884,NA
"Croatian","item_117",1.00002934957764,1.00009263847361,0.999689645919341,NA
"Croatian","item_118",1.00127365154242,1.00106357758921,1.00041081316792,NA
"Croatian","item_119",1.00047416907643,1.0001158800418,1.0008414620826,NA
"Croatian","item_11",1.00085210384333,1.00103987477451,1.00069264549389,NA
"Croatian","item_120",1.00017083183092,1.00044882497221,1.00070682070853,NA
"Croatian","item_121",0.999915609347225,1.00004316993289,0.999922528727352,NA
"Croatian","item_122",1.00240338889929,1.00271658662771,1.00030968020315,NA
"Croatian","item_123",0.999909108877269,0.999855461286486,1.00015881134687,NA
"Croatian","item_124",1.00038637794757,1.00029412510725,0.999946378857167,NA
"Croatian","item_125",1.00000996837639,1.00005004750072,1.00072200604698,NA
