"Simulation","age","yes","N"
"ParSimulation_1",15,57,1000
"ParSimulation_1",16,89,1000
"ParSimulation_1",17,131,1000
"ParSimulation_1",18,171,1000
"ParSimulation_1",19,210,1000
"ParSimulation_1",20,277,1000
"ParSimulation_1",21,342,1000
"ParSimulation_1",22,412,1000
"ParSimulation_1",23,463,1000
"ParSimulation_1",24,525,1000
"ParSimulation_1",25,595,1000
"ParSimulation_1",26,660,1000
"ParSimulation_1",27,712,1000
"ParSimulation_1",28,765,1000
"ParSimulation_1",29,807,1000
"ParSimulation_1",30,839,1000
"ParSimulation_1",31,873,1000
"ParSimulation_1",32,896,1000
"ParSimulation_1",33,909,1000
"ParSimulation_1",34,928,1000
"ParSimulation_1",35,953,1000
"ParSimulation_1",36,965,1000
"ParSimulation_2",15,57,1000
"ParSimulation_2",16,88,1000
"ParSimulation_2",17,127,1000
"ParSimulation_2",18,170,1000
"ParSimulation_2",19,220,1000
"ParSimulation_2",20,277,1000
"ParSimulation_2",21,358,1000
"ParSimulation_2",22,420,1000
"ParSimulation_2",23,489,1000
"ParSimulation_2",24,553,1000
"ParSimulation_2",25,613,1000
"ParSimulation_2",26,662,1000
"ParSimulation_2",27,720,1000
"ParSimulation_2",28,758,1000
"ParSimulation_2",29,804,1000
"ParSimulation_2",30,841,1000
"ParSimulation_2",31,868,1000
"ParSimulation_2",32,889,1000
"ParSimulation_2",33,913,1000
"ParSimulation_2",34,925,1000
"ParSimulation_2",35,943,1000
"ParSimulation_2",36,955,1000
"ParSimulation_3",15,67,1000
"ParSimulation_3",16,95,1000
"ParSimulation_3",17,137,1000
"ParSimulation_3",18,183,1000
"ParSimulation_3",19,234,1000
"ParSimulation_3",20,279,1000
"ParSimulation_3",21,343,1000
"ParSimulation_3",22,403,1000
"ParSimulation_3",23,472,1000
"ParSimulation_3",24,528,1000
"ParSimulation_3",25,593,1000
"ParSimulation_3",26,649,1000
"ParSimulation_3",27,687,1000
"ParSimulation_3",28,743,1000
"ParSimulation_3",29,788,1000
"ParSimulation_3",30,824,1000
"ParSimulation_3",31,846,1000
"ParSimulation_3",32,873,1000
"ParSimulation_3",33,904,1000
"ParSimulation_3",34,925,1000
"ParSimulation_3",35,937,1000
"ParSimulation_3",36,951,1000
"ParSimulation_4",15,56,1000
"ParSimulation_4",16,80,1000
"ParSimulation_4",17,122,1000
"ParSimulation_4",18,167,1000
"ParSimulation_4",19,220,1000
"ParSimulation_4",20,284,1000
"ParSimulation_4",21,356,1000
"ParSimulation_4",22,412,1000
"ParSimulation_4",23,483,1000
"ParSimulation_4",24,538,1000
"ParSimulation_4",25,608,1000
"ParSimulation_4",26,662,1000
"ParSimulation_4",27,707,1000
"ParSimulation_4",28,759,1000
"ParSimulation_4",29,799,1000
"ParSimulation_4",30,838,1000
"ParSimulation_4",31,874,1000
"ParSimulation_4",32,898,1000
"ParSimulation_4",33,917,1000
"ParSimulation_4",34,939,1000
"ParSimulation_4",35,952,1000
"ParSimulation_4",36,959,1000
"ParSimulation_5",15,75,1000
"ParSimulation_5",16,106,1000
"ParSimulation_5",17,137,1000
"ParSimulation_5",18,185,1000
"ParSimulation_5",19,228,1000
"ParSimulation_5",20,284,1000
"ParSimulation_5",21,356,1000
"ParSimulation_5",22,413,1000
"ParSimulation_5",23,478,1000
"ParSimulation_5",24,530,1000
"ParSimulation_5",25,604,1000
"ParSimulation_5",26,668,1000
"ParSimulation_5",27,723,1000
"ParSimulation_5",28,769,1000
"ParSimulation_5",29,808,1000
"ParSimulation_5",30,849,1000
"ParSimulation_5",31,876,1000
"ParSimulation_5",32,898,1000
"ParSimulation_5",33,917,1000
"ParSimulation_5",34,931,1000
"ParSimulation_5",35,943,1000
"ParSimulation_5",36,950,1000
"ParSimulation_6",15,63,1000
"ParSimulation_6",16,87,1000
"ParSimulation_6",17,126,1000
"ParSimulation_6",18,178,1000
"ParSimulation_6",19,220,1000
"ParSimulation_6",20,289,1000
"ParSimulation_6",21,342,1000
"ParSimulation_6",22,416,1000
"ParSimulation_6",23,480,1000
"ParSimulation_6",24,547,1000
"ParSimulation_6",25,614,1000
"ParSimulation_6",26,669,1000
"ParSimulation_6",27,706,1000
"ParSimulation_6",28,748,1000
"ParSimulation_6",29,806,1000
"ParSimulation_6",30,842,1000
"ParSimulation_6",31,875,1000
"ParSimulation_6",32,896,1000
"ParSimulation_6",33,905,1000
"ParSimulation_6",34,923,1000
"ParSimulation_6",35,936,1000
"ParSimulation_6",36,949,1000
"ParSimulation_7",15,46,1000
"ParSimulation_7",16,70,1000
"ParSimulation_7",17,99,1000
"ParSimulation_7",18,159,1000
"ParSimulation_7",19,206,1000
"ParSimulation_7",20,261,1000
"ParSimulation_7",21,340,1000
"ParSimulation_7",22,387,1000
"ParSimulation_7",23,460,1000
"ParSimulation_7",24,523,1000
"ParSimulation_7",25,583,1000
"ParSimulation_7",26,636,1000
"ParSimulation_7",27,691,1000
