"Simulation","age","yes","N"
"ParSimulation_1",15,223,1000
"ParSimulation_1",16,270,1000
"ParSimulation_1",17,319,1000
"ParSimulation_1",18,360,1000
"ParSimulation_1",19,393,1000
"ParSimulation_1",20,422,1000
"ParSimulation_1",21,459,1000
"ParSimulation_1",22,497,1000
"ParSimulation_1",23,536,1000
"ParSimulation_1",24,568,1000
"ParSimulation_1",25,588,1000
"ParSimulation_1",26,619,1000
"ParSimulation_1",27,644,1000
"ParSimulation_1",28,661,1000
"ParSimulation_1",29,684,1000
"ParSimulation_1",30,702,1000
"ParSimulation_1",31,716,1000
"ParSimulation_1",32,727,1000
"ParSimulation_1",33,739,1000
"ParSimulation_1",34,751,1000
"ParSimulation_1",35,760,1000
"ParSimulation_1",36,769,1000
"ParSimulation_2",15,247,1000
"ParSimulation_2",16,282,1000
"ParSimulation_2",17,318,1000
"ParSimulation_2",18,359,1000
"ParSimulation_2",19,393,1000
"ParSimulation_2",20,445,1000
"ParSimulation_2",21,482,1000
"ParSimulation_2",22,506,1000
"ParSimulation_2",23,532,1000
"ParSimulation_2",24,556,1000
"ParSimulation_2",25,571,1000
"ParSimulation_2",26,598,1000
"ParSimulation_2",27,629,1000
"ParSimulation_2",28,653,1000
"ParSimulation_2",29,667,1000
"ParSimulation_2",30,674,1000
"ParSimulation_2",31,689,1000
"ParSimulation_2",32,706,1000
"ParSimulation_2",33,716,1000
"ParSimulation_2",34,727,1000
"ParSimulation_2",35,737,1000
"ParSimulation_2",36,749,1000
"ParSimulation_3",15,213,1000
"ParSimulation_3",16,261,1000
"ParSimulation_3",17,318,1000
"ParSimulation_3",18,376,1000
"ParSimulation_3",19,411,1000
"ParSimulation_3",20,444,1000
"ParSimulation_3",21,478,1000
"ParSimulation_3",22,513,1000
"ParSimulation_3",23,538,1000
"ParSimulation_3",24,560,1000
"ParSimulation_3",25,581,1000
"ParSimulation_3",26,602,1000
"ParSimulation_3",27,621,1000
"ParSimulation_3",28,636,1000
"ParSimulation_3",29,663,1000
"ParSimulation_3",30,680,1000
"ParSimulation_3",31,691,1000
"ParSimulation_3",32,707,1000
"ParSimulation_3",33,724,1000
"ParSimulation_3",34,741,1000
"ParSimulation_3",35,753,1000
"ParSimulation_3",36,763,1000
"ParSimulation_4",15,215,1000
"ParSimulation_4",16,255,1000
"ParSimulation_4",17,292,1000
"ParSimulation_4",18,335,1000
"ParSimulation_4",19,375,1000
"ParSimulation_4",20,412,1000
"ParSimulation_4",21,450,1000
"ParSimulation_4",22,486,1000
"ParSimulation_4",23,514,1000
"ParSimulation_4",24,544,1000
"ParSimulation_4",25,574,1000
"ParSimulation_4",26,603,1000
"ParSimulation_4",27,625,1000
"ParSimulation_4",28,648,1000
"ParSimulation_4",29,664,1000
"ParSimulation_4",30,681,1000
"ParSimulation_4",31,695,1000
"ParSimulation_4",32,715,1000
"ParSimulation_4",33,731,1000
"ParSimulation_4",34,742,1000
"ParSimulation_4",35,753,1000
"ParSimulation_4",36,762,1000
"ParSimulation_5",15,204,1000
"ParSimulation_5",16,253,1000
"ParSimulation_5",17,293,1000
"ParSimulation_5",18,333,1000
"ParSimulation_5",19,373,1000
"ParSimulation_5",20,410,1000
"ParSimulation_5",21,446,1000
"ParSimulation_5",22,472,1000
"ParSimulation_5",23,498,1000
"ParSimulation_5",24,521,1000
"ParSimulation_5",25,549,1000
"ParSimulation_5",26,572,1000
"ParSimulation_5",27,592,1000
"ParSimulation_5",28,614,1000
"ParSimulation_5",29,628,1000
"ParSimulation_5",30,649,1000
"ParSimulation_5",31,668,1000
"ParSimulation_5",32,686,1000
"ParSimulation_5",33,694,1000
"ParSimulation_5",34,708,1000
"ParSimulation_5",35,719,1000
"ParSimulation_5",36,734,1000
"ParSimulation_6",15,204,1000
"ParSimulation_6",16,238,1000
"ParSimulation_6",17,284,1000
"ParSimulation_6",18,318,1000
"ParSimulation_6",19,367,1000
"ParSimulation_6",20,406,1000
"ParSimulation_6",21,449,1000
"ParSimulation_6",22,482,1000
"ParSimulation_6",23,511,1000
"ParSimulation_6",24,533,1000
"ParSimulation_6",25,551,1000
"ParSimulation_6",26,582,1000
"ParSimulation_6",27,606,1000
"ParSimulation_6",28,634,1000
"ParSimulation_6",29,652,1000
"ParSimulation_6",30,672,1000
"ParSimulation_6",31,694,1000
"ParSimulation_6",32,705,1000
