"Simulation","age","yes","N"
"ParSimulation_1",15,75,1000
"ParSimulation_1",16,105,1000
"ParSimulation_1",17,149,1000
"ParSimulation_1",18,185,1000
"ParSimulation_1",19,235,1000
"ParSimulation_1",20,295,1000
"ParSimulation_1",21,358,1000
"ParSimulation_1",22,429,1000
"ParSimulation_1",23,481,1000
"ParSimulation_1",24,544,1000
"ParSimulation_1",25,603,1000
"ParSimulation_1",26,667,1000
"ParSimulation_1",27,707,1000
"ParSimulation_1",28,747,1000
"ParSimulation_1",29,788,1000
"ParSimulation_1",30,818,1000
"ParSimulation_1",31,841,1000
"ParSimulation_1",32,870,1000
"ParSimulation_1",33,890,1000
"ParSimulation_1",34,917,1000
"ParSimulation_1",35,930,1000
"ParSimulation_1",36,942,1000
"ParSimulation_2",15,62,1000
"ParSimulation_2",16,83,1000
"ParSimulation_2",17,122,1000
"ParSimulation_2",18,171,1000
"ParSimulation_2",19,224,1000
"ParSimulation_2",20,279,1000
"ParSimulation_2",21,356,1000
"ParSimulation_2",22,417,1000
"ParSimulation_2",23,473,1000
"ParSimulation_2",24,528,1000
"ParSimulation_2",25,592,1000
"ParSimulation_2",26,648,1000
"ParSimulation_2",27,697,1000
"ParSimulation_2",28,733,1000
"ParSimulation_2",29,771,1000
"ParSimulation_2",30,808,1000
"ParSimulation_2",31,835,1000
"ParSimulation_2",32,863,1000
"ParSimulation_2",33,882,1000
"ParSimulation_2",34,901,1000
"ParSimulation_2",35,920,1000
"ParSimulation_2",36,938,1000
"ParSimulation_3",15,62,1000
"ParSimulation_3",16,103,1000
"ParSimulation_3",17,134,1000
"ParSimulation_3",18,180,1000
"ParSimulation_3",19,241,1000
"ParSimulation_3",20,304,1000
"ParSimulation_3",21,369,1000
"ParSimulation_3",22,411,1000
"ParSimulation_3",23,482,1000
"ParSimulation_3",24,537,1000
"ParSimulation_3",25,601,1000
"ParSimulation_3",26,644,1000
"ParSimulation_3",27,685,1000
"ParSimulation_3",28,726,1000
"ParSimulation_3",29,768,1000
"ParSimulation_3",30,793,1000
"ParSimulation_3",31,826,1000
"ParSimulation_3",32,850,1000
"ParSimulation_3",33,873,1000
"ParSimulation_3",34,901,1000
"ParSimulation_3",35,920,1000
"ParSimulation_3",36,930,1000
"ParSimulation_4",15,67,1000
"ParSimulation_4",16,103,1000
"ParSimulation_4",17,154,1000
"ParSimulation_4",18,200,1000
"ParSimulation_4",19,261,1000
"ParSimulation_4",20,324,1000
"ParSimulation_4",21,382,1000
"ParSimulation_4",22,433,1000
"ParSimulation_4",23,490,1000
"ParSimulation_4",24,547,1000
"ParSimulation_4",25,600,1000
"ParSimulation_4",26,649,1000
"ParSimulation_4",27,695,1000
"ParSimulation_4",28,742,1000
"ParSimulation_4",29,776,1000
"ParSimulation_4",30,810,1000
"ParSimulation_4",31,839,1000
"ParSimulation_4",32,864,1000
"ParSimulation_4",33,886,1000
"ParSimulation_4",34,904,1000
"ParSimulation_4",35,919,1000
"ParSimulation_4",36,939,1000
"ParSimulation_5",15,49,1000
"ParSimulation_5",16,88,1000
"ParSimulation_5",17,134,1000
"ParSimulation_5",18,174,1000
"ParSimulation_5",19,236,1000
"ParSimulation_5",20,300,1000
"ParSimulation_5",21,357,1000
"ParSimulation_5",22,428,1000
"ParSimulation_5",23,483,1000
"ParSimulation_5",24,545,1000
"ParSimulation_5",25,602,1000
"ParSimulation_5",26,664,1000
"ParSimulation_5",27,707,1000
"ParSimulation_5",28,740,1000
"ParSimulation_5",29,787,1000
"ParSimulation_5",30,817,1000
"ParSimulation_5",31,850,1000
